Date,Visitor/Neutral,Home/Neutral
Tue Oct 22 2019,Los Angeles Lakers,Los Angeles Clippers
Tue Oct 22 2019,New Orleans Pelicans,Toronto Raptors
Wed Oct 23 2019,Minnesota Timberwolves,Brooklyn Nets
Wed Oct 23 2019,Chicago Bulls,Charlotte Hornets
Wed Oct 23 2019,Washington Wizards,Dallas Mavericks
Wed Oct 23 2019,Detroit Pistons,Indiana Pacers
Wed Oct 23 2019,Memphis Grizzlies,Miami Heat
Wed Oct 23 2019,Cleveland Cavaliers,Orlando Magic
Wed Oct 23 2019,Boston Celtics,Philadelphia 76ers
Wed Oct 23 2019,Sacramento Kings,Phoenix Suns
Wed Oct 23 2019,Denver Nuggets,Portland Trail Blazers
Wed Oct 23 2019,New York Knicks,San Antonio Spurs
Wed Oct 23 2019,Oklahoma City Thunder,Utah Jazz
Thu Oct 24 2019,Atlanta Hawks,Detroit Pistons
Thu Oct 24 2019,Los Angeles Clippers,Golden State Warriors
Thu Oct 24 2019,Milwaukee Bucks,Houston Rockets
Fri Oct 25 2019,Toronto Raptors,Boston Celtics
Fri Oct 25 2019,New York Knicks,Brooklyn Nets
Fri Oct 25 2019,Minnesota Timberwolves,Charlotte Hornets
Fri Oct 25 2019,Phoenix Suns,Denver Nuggets
Fri Oct 25 2019,Utah Jazz,Los Angeles Lakers
Fri Oct 25 2019,Chicago Bulls,Memphis Grizzlies
Fri Oct 25 2019,Dallas Mavericks,New Orleans Pelicans
Fri Oct 25 2019,Washington Wizards,Oklahoma City Thunder
Fri Oct 25 2019,Portland Trail Blazers,Sacramento Kings
Sat Oct 26 2019,Orlando Magic,Atlanta Hawks
Sat Oct 26 2019,Toronto Raptors,Chicago Bulls
Sat Oct 26 2019,Indiana Pacers,Cleveland Cavaliers
Sat Oct 26 2019,Philadelphia 76ers,Detroit Pistons
Sat Oct 26 2019,New Orleans Pelicans,Houston Rockets
Sat Oct 26 2019,Miami Heat,Milwaukee Bucks
Sat Oct 26 2019,Boston Celtics,New York Knicks
Sat Oct 26 2019,Los Angeles Clippers,Phoenix Suns
Sat Oct 26 2019,Washington Wizards,San Antonio Spurs
Sat Oct 26 2019,Sacramento Kings,Utah Jazz
Sun Oct 27 2019,Portland Trail Blazers,Dallas Mavericks
Sun Oct 27 2019,Charlotte Hornets,Los Angeles Lakers
Sun Oct 27 2019,Brooklyn Nets,Memphis Grizzlies
Sun Oct 27 2019,Miami Heat,Minnesota Timberwolves
Sun Oct 27 2019,Golden State Warriors,Oklahoma City Thunder
Mon Oct 28 2019,Philadelphia 76ers,Atlanta Hawks
Mon Oct 28 2019,Indiana Pacers,Detroit Pistons
Mon Oct 28 2019,Oklahoma City Thunder,Houston Rockets
Mon Oct 28 2019,Charlotte Hornets,Los Angeles Clippers
Mon Oct 28 2019,Cleveland Cavaliers,Milwaukee Bucks
Mon Oct 28 2019,Golden State Warriors,New Orleans Pelicans
Mon Oct 28 2019,Chicago Bulls,New York Knicks
Mon Oct 28 2019,Utah Jazz,Phoenix Suns
Mon Oct 28 2019,Denver Nuggets,Sacramento Kings
Mon Oct 28 2019,Portland Trail Blazers,San Antonio Spurs
Mon Oct 28 2019,Orlando Magic,Toronto Raptors
Tue Oct 29 2019,Dallas Mavericks,Denver Nuggets
Tue Oct 29 2019,Memphis Grizzlies,Los Angeles Lakers
Tue Oct 29 2019,Atlanta Hawks,Miami Heat
Wed Oct 30 2019,Milwaukee Bucks,Boston Celtics
Wed Oct 30 2019,Indiana Pacers,Brooklyn Nets
Wed Oct 30 2019,Chicago Bulls,Cleveland Cavaliers
Wed Oct 30 2019,Phoenix Suns,Golden State Warriors
Wed Oct 30 2019,Portland Trail Blazers,Oklahoma City Thunder
Wed Oct 30 2019,New York Knicks,Orlando Magic
Wed Oct 30 2019,Minnesota Timberwolves,Philadelphia 76ers
Wed Oct 30 2019,Charlotte Hornets,Sacramento Kings
Wed Oct 30 2019,Detroit Pistons,Toronto Raptors
Wed Oct 30 2019,Los Angeles Clippers,Utah Jazz
Wed Oct 30 2019,Houston Rockets,Washington Wizards
Thu Oct 31 2019,Miami Heat,Atlanta Hawks
Thu Oct 31 2019,San Antonio Spurs,Los Angeles Clippers
Thu Oct 31 2019,Denver Nuggets,New Orleans Pelicans
Fri Nov 1 2019,New York Knicks,Boston Celtics
Fri Nov 1 2019,Houston Rockets,Brooklyn Nets
Fri Nov 1 2019,Detroit Pistons,Chicago Bulls
Fri Nov 1 2019,Los Angeles Lakers,Dallas Mavericks
Fri Nov 1 2019,San Antonio Spurs,Golden State Warriors
Fri Nov 1 2019,Cleveland Cavaliers,Indiana Pacers
Fri Nov 1 2019,Milwaukee Bucks,Orlando Magic
Fri Nov 1 2019,Utah Jazz,Sacramento Kings
Sat Nov 2 2019,Brooklyn Nets,Detroit Pistons
Sat Nov 2 2019,Charlotte Hornets,Golden State Warriors
Sat Nov 2 2019,Phoenix Suns,Memphis Grizzlies
Sat Nov 2 2019,Toronto Raptors,Milwaukee Bucks
Sat Nov 2 2019,New Orleans Pelicans,Oklahoma City Thunder
Sat Nov 2 2019,Denver Nuggets,Orlando Magic
Sat Nov 2 2019,Philadelphia 76ers,Portland Trail Blazers
Sat Nov 2 2019,Minnesota Timberwolves,Washington Wizards
Sun Nov 3 2019,Dallas Mavericks,Cleveland Cavaliers
Sun Nov 3 2019,Chicago Bulls,Indiana Pacers
Sun Nov 3 2019,Utah Jazz,Los Angeles Clippers
Sun Nov 3 2019,Houston Rockets,Miami Heat
Sun Nov 3 2019,Sacramento Kings,New York Knicks
Sun Nov 3 2019,Los Angeles Lakers,San Antonio Spurs
Mon Nov 4 2019,New Orleans Pelicans,Brooklyn Nets
Mon Nov 4 2019,Portland Trail Blazers,Golden State Warriors
Mon Nov 4 2019,Houston Rockets,Memphis Grizzlies
Mon Nov 4 2019,Milwaukee Bucks,Minnesota Timberwolves
Mon Nov 4 2019,Philadelphia 76ers,Phoenix Suns
Mon Nov 4 2019,Detroit Pistons,Washington Wizards
Tue Nov 5 2019,San Antonio Spurs,Atlanta Hawks
Tue Nov 5 2019,Los Angeles Lakers,Chicago Bulls
Tue Nov 5 2019,Indiana Pacers,Charlotte Hornets
Tue Nov 5 2019,Boston Celtics,Cleveland Cavaliers
Tue Nov 5 2019,Miami Heat,Denver Nuggets
Tue Nov 5 2019,Orlando Magic,Oklahoma City Thunder
Wed Nov 6 2019,Chicago Bulls,Atlanta Hawks
Wed Nov 6 2019,Orlando Magic,Dallas Mavericks
Wed Nov 6 2019,New York Knicks,Detroit Pistons
Wed Nov 6 2019,Golden State Warriors,Houston Rockets
Wed Nov 6 2019,Washington Wizards,Indiana Pacers
Wed Nov 6 2019,Milwaukee Bucks,Los Angeles Clippers
Wed Nov 6 2019,Minnesota Timberwolves,Memphis Grizzlies
Wed Nov 6 2019,Sacramento Kings,Toronto Raptors
Wed Nov 6 2019,Philadelphia 76ers,Utah Jazz
Thu Nov 7 2019,Boston Celtics,Charlotte Hornets
Thu Nov 7 2019,Portland Trail Blazers,Los Angeles Clippers
Thu Nov 7 2019,Miami Heat,Phoenix Suns
Thu Nov 7 2019,Oklahoma City Thunder,San Antonio Spurs
Fri Nov 8 2019,Sacramento Kings,Atlanta Hawks
Fri Nov 8 2019,New York Knicks,Dallas Mavericks
Fri Nov 8 2019,Philadelphia 76ers,Denver Nuggets
Fri Nov 8 2019,Detroit Pistons,Indiana Pacers
Fri Nov 8 2019,Miami Heat,Los Angeles Lakers
Fri Nov 8 2019,Golden State Warriors,Minnesota Timberwolves
Fri Nov 8 2019,Toronto Raptors,New Orleans Pelicans
Fri Nov 8 2019,Memphis Grizzlies,Orlando Magic
Fri Nov 8 2019,Brooklyn Nets,Portland Trail Blazers
Fri Nov 8 2019,Milwaukee Bucks,Utah Jazz
Fri Nov 8 2019,Cleveland Cavaliers,Washington Wizards
Sat Nov 9 2019,Houston Rockets,Chicago Bulls
Sat Nov 9 2019,New Orleans Pelicans,Charlotte Hornets
Sat Nov 9 2019,Dallas Mavericks,Memphis Grizzlies
Sat Nov 9 2019,Golden State Warriors,Oklahoma City Thunder
Sat Nov 9 2019,Boston Celtics,San Antonio Spurs
Sun Nov 10 2019,Toronto Raptors,Los Angeles Lakers
Sun Nov 10 2019,Denver Nuggets,Minnesota Timberwolves
Sun Nov 10 2019,Cleveland Cavaliers,New York Knicks
Sun Nov 10 2019,Milwaukee Bucks,Oklahoma City Thunder
Sun Nov 10 2019,Indiana Pacers,Orlando Magic
Sun Nov 10 2019,Charlotte Hornets,Philadelphia 76ers
Sun Nov 10 2019,Brooklyn Nets,Phoenix Suns
Sun Nov 10 2019,Atlanta Hawks,Portland Trail Blazers
Mon Nov 11 2019,Dallas Mavericks,Boston Celtics
Mon Nov 11 2019,Minnesota Timberwolves,Detroit Pistons
Mon Nov 11 2019,Utah Jazz,Golden State Warriors
Mon Nov 11 2019,Toronto Raptors,Los Angeles Clippers
Mon Nov 11 2019,Houston Rockets,New Orleans Pelicans
Mon Nov 11 2019,Memphis Grizzlies,San Antonio Spurs
Tue Nov 12 2019,New York Knicks,Chicago Bulls
Tue Nov 12 2019,Atlanta Hawks,Denver Nuggets
Tue Nov 12 2019,Oklahoma City Thunder,Indiana Pacers
Tue Nov 12 2019,Detroit Pistons,Miami Heat
Tue Nov 12 2019,Cleveland Cavaliers,Philadelphia 76ers
Tue Nov 12 2019,Los Angeles Lakers,Phoenix Suns
Tue Nov 12 2019,Portland Trail Blazers,Sacramento Kings
Tue Nov 12 2019,Brooklyn Nets,Utah Jazz
Wed Nov 13 2019,Washington Wizards,Boston Celtics
Wed Nov 13 2019,Memphis Grizzlies,Charlotte Hornets
Wed Nov 13 2019,Los Angeles Clippers,Houston Rockets
Wed Nov 13 2019,Golden State Warriors,Los Angeles Lakers
Wed Nov 13 2019,San Antonio Spurs,Minnesota Timberwolves
Wed Nov 13 2019,Philadelphia 76ers,Orlando Magic
Wed Nov 13 2019,Toronto Raptors,Portland Trail Blazers
Thu Nov 14 2019,Miami Heat,Cleveland Cavaliers
Thu Nov 14 2019,Brooklyn Nets,Denver Nuggets
Thu Nov 14 2019,Chicago Bulls,Milwaukee Bucks
Thu Nov 14 2019,Los Angeles Clippers,New Orleans Pelicans
Thu Nov 14 2019,Dallas Mavericks,New York Knicks
Thu Nov 14 2019,Atlanta Hawks,Phoenix Suns
Fri Nov 15 2019,Detroit Pistons,Charlotte Hornets
Fri Nov 15 2019,Boston Celtics,Golden State Warriors
Fri Nov 15 2019,Indiana Pacers,Houston Rockets
Fri Nov 15 2019,Sacramento Kings,Los Angeles Lakers
Fri Nov 15 2019,Utah Jazz,Memphis Grizzlies
Fri Nov 15 2019,Washington Wizards,Minnesota Timberwolves
Fri Nov 15 2019,Philadelphia 76ers,Oklahoma City Thunder
Fri Nov 15 2019,San Antonio Spurs,Orlando Magic
Sat Nov 16 2019,Brooklyn Nets,Chicago Bulls
Sat Nov 16 2019,Toronto Raptors,Dallas Mavericks
Sat Nov 16 2019,Milwaukee Bucks,Indiana Pacers
Sat Nov 16 2019,Atlanta Hawks,Los Angeles Clippers
Sat Nov 16 2019,New Orleans Pelicans,Miami Heat
Sat Nov 16 2019,Houston Rockets,Minnesota Timberwolves
Sat Nov 16 2019,Charlotte Hornets,New York Knicks
Sat Nov 16 2019,Portland Trail Blazers,San Antonio Spurs
Sun Nov 17 2019,Philadelphia 76ers,Cleveland Cavaliers
Sun Nov 17 2019,Atlanta Hawks,Los Angeles Lakers
Sun Nov 17 2019,Denver Nuggets,Memphis Grizzlies
Sun Nov 17 2019,Golden State Warriors,New Orleans Pelicans
Sun Nov 17 2019,Washington Wizards,Orlando Magic
Sun Nov 17 2019,Boston Celtics,Sacramento Kings
Mon Nov 18 2019,Indiana Pacers,Brooklyn Nets
Mon Nov 18 2019,Milwaukee Bucks,Chicago Bulls
Mon Nov 18 2019,San Antonio Spurs,Dallas Mavericks
Mon Nov 18 2019,Portland Trail Blazers,Houston Rockets
Mon Nov 18 2019,Oklahoma City Thunder,Los Angeles Clippers
Mon Nov 18 2019,Cleveland Cavaliers,New York Knicks
Mon Nov 18 2019,Boston Celtics,Phoenix Suns
Mon Nov 18 2019,Charlotte Hornets,Toronto Raptors
Mon Nov 18 2019,Minnesota Timberwolves,Utah Jazz
Tue Nov 19 2019,Oklahoma City Thunder,Los Angeles Lakers
Tue Nov 19 2019,Golden State Warriors,Memphis Grizzlies
Tue Nov 19 2019,Portland Trail Blazers,New Orleans Pelicans
Tue Nov 19 2019,Phoenix Suns,Sacramento Kings
Wed Nov 20 2019,Milwaukee Bucks,Atlanta Hawks
Wed Nov 20 2019,Charlotte Hornets,Brooklyn Nets
Wed Nov 20 2019,Detroit Pistons,Chicago Bulls
Wed Nov 20 2019,Golden State Warriors,Dallas Mavericks
Wed Nov 20 2019,Houston Rockets,Denver Nuggets
Wed Nov 20 2019,Boston Celtics,Los Angeles Clippers
Wed Nov 20 2019,Cleveland Cavaliers,Miami Heat
Wed Nov 20 2019,Utah Jazz,Minnesota Timberwolves
Wed Nov 20 2019,New York Knicks,Philadelphia 76ers
Wed Nov 20 2019,Orlando Magic,Toronto Raptors
Wed Nov 20 2019,San Antonio Spurs,Washington Wizards
Thu Nov 21 2019,Portland Trail Blazers,Milwaukee Bucks
Thu Nov 21 2019,New Orleans Pelicans,Phoenix Suns
Fri Nov 22 2019,Sacramento Kings,Brooklyn Nets
Fri Nov 22 2019,Miami Heat,Chicago Bulls
Fri Nov 22 2019,Cleveland Cavaliers,Dallas Mavericks
Fri Nov 22 2019,Boston Celtics,Denver Nuggets
Fri Nov 22 2019,Atlanta Hawks,Detroit Pistons
Fri Nov 22 2019,Houston Rockets,Los Angeles Clippers
Fri Nov 22 2019,Los Angeles Lakers,Oklahoma City Thunder
Fri Nov 22 2019,San Antonio Spurs,Philadelphia 76ers
Fri Nov 22 2019,Golden State Warriors,Utah Jazz
Fri Nov 22 2019,Charlotte Hornets,Washington Wizards
Sat Nov 23 2019,Toronto Raptors,Atlanta Hawks
Sat Nov 23 2019,Chicago Bulls,Charlotte Hornets
Sat Nov 23 2019,Portland Trail Blazers,Cleveland Cavaliers
Sat Nov 23 2019,Orlando Magic,Indiana Pacers
Sat Nov 23 2019,Los Angeles Lakers,Memphis Grizzlies
Sat Nov 23 2019,Detroit Pistons,Milwaukee Bucks
Sat Nov 23 2019,Phoenix Suns,Minnesota Timberwolves
Sat Nov 23 2019,San Antonio Spurs,New York Knicks
Sat Nov 23 2019,Miami Heat,Philadelphia 76ers
Sat Nov 23 2019,New Orleans Pelicans,Utah Jazz
Sun Nov 24 2019,Phoenix Suns,Denver Nuggets
Sun Nov 24 2019,Dallas Mavericks,Houston Rockets
Sun Nov 24 2019,New Orleans Pelicans,Los Angeles Clippers
Sun Nov 24 2019,Brooklyn Nets,New York Knicks
Sun Nov 24 2019,Sacramento Kings,Washington Wizards
Mon Nov 25 2019,Minnesota Timberwolves,Atlanta Hawks
Mon Nov 25 2019,Sacramento Kings,Boston Celtics
Mon Nov 25 2019,Portland Trail Blazers,Chicago Bulls
Mon Nov 25 2019,Brooklyn Nets,Cleveland Cavaliers
Mon Nov 25 2019,Orlando Magic,Detroit Pistons
Mon Nov 25 2019,Oklahoma City Thunder,Golden State Warriors
Mon Nov 25 2019,Memphis Grizzlies,Indiana Pacers
Mon Nov 25 2019,Charlotte Hornets,Miami Heat
Mon Nov 25 2019,Utah Jazz,Milwaukee Bucks
Mon Nov 25 2019,Los Angeles Lakers,San Antonio Spurs
Mon Nov 25 2019,Philadelphia 76ers,Toronto Raptors
Tue Nov 26 2019,Los Angeles Clippers,Dallas Mavericks
Tue Nov 26 2019,Washington Wizards,Denver Nuggets
Wed Nov 27 2019,Brooklyn Nets,Boston Celtics
Wed Nov 27 2019,Detroit Pistons,Charlotte Hornets
Wed Nov 27 2019,Orlando Magic,Cleveland Cavaliers
Wed Nov 27 2019,Chicago Bulls,Golden State Warriors
Wed Nov 27 2019,Miami Heat,Houston Rockets
Wed Nov 27 2019,Utah Jazz,Indiana Pacers
Wed Nov 27 2019,Los Angeles Clippers,Memphis Grizzlies
Wed Nov 27 2019,Atlanta Hawks,Milwaukee Bucks
Wed Nov 27 2019,Los Angeles Lakers,New Orleans Pelicans
Wed Nov 27 2019,Sacramento Kings,Philadelphia 76ers
Wed Nov 27 2019,Washington Wizards,Phoenix Suns
Wed Nov 27 2019,Oklahoma City Thunder,Portland Trail Blazers
Wed Nov 27 2019,Minnesota Timberwolves,San Antonio Spurs
Wed Nov 27 2019,New York Knicks,Toronto Raptors
Fri Nov 29 2019,Boston Celtics,Brooklyn Nets
Fri Nov 29 2019,Milwaukee Bucks,Cleveland Cavaliers
Fri Nov 29 2019,Charlotte Hornets,Detroit Pistons
Fri Nov 29 2019,Atlanta Hawks,Indiana Pacers
Fri Nov 29 2019,Washington Wizards,Los Angeles Lakers
Fri Nov 29 2019,Utah Jazz,Memphis Grizzlies
Fri Nov 29 2019,Golden State Warriors,Miami Heat
Fri Nov 29 2019,Philadelphia 76ers,New York Knicks
Fri Nov 29 2019,New Orleans Pelicans,Oklahoma City Thunder
Fri Nov 29 2019,Toronto Raptors,Orlando Magic
Fri Nov 29 2019,Dallas Mavericks,Phoenix Suns
Fri Nov 29 2019,Chicago Bulls,Portland Trail Blazers
Fri Nov 29 2019,Los Angeles Clippers,San Antonio Spurs
Sat Nov 30 2019,Atlanta Hawks,Houston Rockets
Sat Nov 30 2019,Charlotte Hornets,Milwaukee Bucks
Sat Nov 30 2019,Indiana Pacers,Philadelphia 76ers
Sat Nov 30 2019,Denver Nuggets,Sacramento Kings
Sun Dec 1 2019,Miami Heat,Brooklyn Nets
Sun Dec 1 2019,San Antonio Spurs,Detroit Pistons
Sun Dec 1 2019,Washington Wizards,Los Angeles Clippers
Sun Dec 1 2019,Dallas Mavericks,Los Angeles Lakers
Sun Dec 1 2019,Memphis Grizzlies,Minnesota Timberwolves
Sun Dec 1 2019,Oklahoma City Thunder,New Orleans Pelicans
Sun Dec 1 2019,Boston Celtics,New York Knicks
Sun Dec 1 2019,Golden State Warriors,Orlando Magic
Sun Dec 1 2019,Utah Jazz,Toronto Raptors
Mon Dec 2 2019,Golden State Warriors,Atlanta Hawks
Mon Dec 2 2019,Phoenix Suns,Charlotte Hornets
Mon Dec 2 2019,Indiana Pacers,Memphis Grizzlies
Mon Dec 2 2019,New York Knicks,Milwaukee Bucks
Mon Dec 2 2019,Utah Jazz,Philadelphia 76ers
Mon Dec 2 2019,Chicago Bulls,Sacramento Kings
Tue Dec 3 2019,Detroit Pistons,Cleveland Cavaliers
Tue Dec 3 2019,Los Angeles Lakers,Denver Nuggets
Tue Dec 3 2019,Portland Trail Blazers,Los Angeles Clippers
Tue Dec 3 2019,Dallas Mavericks,New Orleans Pelicans
Tue Dec 3 2019,Houston Rockets,San Antonio Spurs
Tue Dec 3 2019,Miami Heat,Toronto Raptors
Tue Dec 3 2019,Orlando Magic,Washington Wizards
Wed Dec 4 2019,Brooklyn Nets,Atlanta Hawks
Wed Dec 4 2019,Miami Heat,Boston Celtics
Wed Dec 4 2019,Memphis Grizzlies,Chicago Bulls
Wed Dec 4 2019,Golden State Warriors,Charlotte Hornets
Wed Dec 4 2019,Minnesota Timberwolves,Dallas Mavericks
Wed Dec 4 2019,Milwaukee Bucks,Detroit Pistons
Wed Dec 4 2019,Indiana Pacers,Oklahoma City Thunder
Wed Dec 4 2019,Phoenix Suns,Orlando Magic
Wed Dec 4 2019,Sacramento Kings,Portland Trail Blazers
Wed Dec 4 2019,Los Angeles Lakers,Utah Jazz
Thu Dec 5 2019,Phoenix Suns,New Orleans Pelicans
Thu Dec 5 2019,Denver Nuggets,New York Knicks
Thu Dec 5 2019,Houston Rockets,Toronto Raptors
Thu Dec 5 2019,Philadelphia 76ers,Washington Wizards
Fri Dec 6 2019,Denver Nuggets,Boston Celtics
Fri Dec 6 2019,Golden State Warriors,Chicago Bulls
Fri Dec 6 2019,Brooklyn Nets,Charlotte Hornets
Fri Dec 6 2019,Orlando Magic,Cleveland Cavaliers
Fri Dec 6 2019,Indiana Pacers,Detroit Pistons
Fri Dec 6 2019,Washington Wizards,Miami Heat
Fri Dec 6 2019,Los Angeles Clippers,Milwaukee Bucks
Fri Dec 6 2019,Minnesota Timberwolves,Oklahoma City Thunder
Fri Dec 6 2019,Los Angeles Lakers,Portland Trail Blazers
Fri Dec 6 2019,Sacramento Kings,San Antonio Spurs
Sat Dec 7 2019,New Orleans Pelicans,Dallas Mavericks
Sat Dec 7 2019,Phoenix Suns,Houston Rockets
Sat Dec 7 2019,Indiana Pacers,New York Knicks
Sat Dec 7 2019,Cleveland Cavaliers,Philadelphia 76ers
Sat Dec 7 2019,Memphis Grizzlies,Utah Jazz
Sun Dec 8 2019,Denver Nuggets,Brooklyn Nets
Sun Dec 8 2019,Atlanta Hawks,Charlotte Hornets
Sun Dec 8 2019,Sacramento Kings,Dallas Mavericks
Sun Dec 8 2019,Minnesota Timberwolves,Los Angeles Lakers
Sun Dec 8 2019,Chicago Bulls,Miami Heat
Sun Dec 8 2019,Toronto Raptors,Philadelphia 76ers
Sun Dec 8 2019,Oklahoma City Thunder,Portland Trail Blazers
Sun Dec 8 2019,Los Angeles Clippers,Washington Wizards
Mon Dec 9 2019,Cleveland Cavaliers,Boston Celtics
Mon Dec 9 2019,Toronto Raptors,Chicago Bulls
Mon Dec 9 2019,Memphis Grizzlies,Golden State Warriors
Mon Dec 9 2019,Sacramento Kings,Houston Rockets
Mon Dec 9 2019,Los Angeles Clippers,Indiana Pacers
Mon Dec 9 2019,Orlando Magic,Milwaukee Bucks
Mon Dec 9 2019,Detroit Pistons,New Orleans Pelicans
Mon Dec 9 2019,Minnesota Timberwolves,Phoenix Suns
Mon Dec 9 2019,Oklahoma City Thunder,Utah Jazz
Tue Dec 10 2019,Washington Wizards,Charlotte Hornets
Tue Dec 10 2019,Atlanta Hawks,Miami Heat
Tue Dec 10 2019,Denver Nuggets,Philadelphia 76ers
Tue Dec 10 2019,New York Knicks,Portland Trail Blazers
Wed Dec 11 2019,Charlotte Hornets,Brooklyn Nets
Wed Dec 11 2019,Atlanta Hawks,Chicago Bulls
Wed Dec 11 2019,Houston Rockets,Cleveland Cavaliers
Wed Dec 11 2019,New York Knicks,Golden State Warriors
Wed Dec 11 2019,Boston Celtics,Indiana Pacers
Wed Dec 11 2019,New Orleans Pelicans,Milwaukee Bucks
Wed Dec 11 2019,Utah Jazz,Minnesota Timberwolves
Wed Dec 11 2019,Los Angeles Lakers,Orlando Magic
Wed Dec 11 2019,Memphis Grizzlies,Phoenix Suns
Wed Dec 11 2019,Oklahoma City Thunder,Sacramento Kings
Wed Dec 11 2019,Los Angeles Clippers,Toronto Raptors
Thu Dec 12 2019,Philadelphia 76ers,Boston Celtics
Thu Dec 12 2019,Portland Trail Blazers,Denver Nuggets
Thu Dec 12 2019,Dallas Mavericks,Detroit Pistons
Thu Dec 12 2019,Cleveland Cavaliers,San Antonio Spurs
Fri Dec 13 2019,Indiana Pacers,Atlanta Hawks
Fri Dec 13 2019,Charlotte Hornets,Chicago Bulls
Fri Dec 13 2019,Milwaukee Bucks,Memphis Grizzlies
Fri Dec 13 2019,Los Angeles Lakers,Miami Heat
Fri Dec 13 2019,Los Angeles Clippers,Minnesota Timberwolves
Fri Dec 13 2019,Houston Rockets,Orlando Magic
Fri Dec 13 2019,New Orleans Pelicans,Philadelphia 76ers
Fri Dec 13 2019,New York Knicks,Sacramento Kings
Fri Dec 13 2019,Golden State Warriors,Utah Jazz
Sat Dec 14 2019,Los Angeles Clippers,Chicago Bulls
Sat Dec 14 2019,Miami Heat,Dallas Mavericks
Sat Dec 14 2019,Oklahoma City Thunder,Denver Nuggets
Sat Dec 14 2019,Detroit Pistons,Houston Rockets
Sat Dec 14 2019,Washington Wizards,Memphis Grizzlies
Sat Dec 14 2019,Cleveland Cavaliers,Milwaukee Bucks
Sat Dec 14 2019,San Antonio Spurs,Phoenix Suns
Sat Dec 14 2019,Brooklyn Nets,Toronto Raptors
Sun Dec 15 2019,Los Angeles Lakers,Atlanta Hawks
Sun Dec 15 2019,Philadelphia 76ers,Brooklyn Nets
Sun Dec 15 2019,New York Knicks,Denver Nuggets
Sun Dec 15 2019,Sacramento Kings,Golden State Warriors
Sun Dec 15 2019,Charlotte Hornets,Indiana Pacers
Sun Dec 15 2019,Orlando Magic,New Orleans Pelicans
Mon Dec 16 2019,Washington Wizards,Detroit Pistons
Mon Dec 16 2019,San Antonio Spurs,Houston Rockets
Mon Dec 16 2019,Miami Heat,Memphis Grizzlies
Mon Dec 16 2019,Dallas Mavericks,Milwaukee Bucks
Mon Dec 16 2019,Chicago Bulls,Oklahoma City Thunder
Mon Dec 16 2019,Portland Trail Blazers,Phoenix Suns
Mon Dec 16 2019,Cleveland Cavaliers,Toronto Raptors
Tue Dec 17 2019,Sacramento Kings,Charlotte Hornets
Tue Dec 17 2019,Los Angeles Lakers,Indiana Pacers
Tue Dec 17 2019,Phoenix Suns,Los Angeles Clippers
Tue Dec 17 2019,Brooklyn Nets,New Orleans Pelicans
Tue Dec 17 2019,Atlanta Hawks,New York Knicks
Tue Dec 17 2019,Orlando Magic,Utah Jazz
Wed Dec 18 2019,Charlotte Hornets,Cleveland Cavaliers
Wed Dec 18 2019,Boston Celtics,Dallas Mavericks
Wed Dec 18 2019,Orlando Magic,Denver Nuggets
